frame,t_s,tfl_c,tfl_roll_sp,tfl_pitch_sp,tfl_yaw_sp,pt_c,pt_roll_sp,pt_pitch_sp,pt_yaw_sp
166,0.5221576981132076,6.872718,0.13192213,0.006475389,-1.4475529,6.867331,0.13190368,0.006445408,-1.4479371
167,0.5253032264150944,7.0616283,0.14831,0.0099186,-1.4487219,7.055586,0.14828232,0.009884059,-1.449102
168,0.5284487547169812,7.9841704,0.12292075,0.01804319,-1.4628456,7.978882,0.122909516,0.018019736,-1.46325
169,0.5315942830188679,8.784792,0.124672174,4.172325e-06,-1.4704027,8.780444,0.12467545,-9.030104e-06,-1.4708174
170,0.5347398113207548,9.098922,0.13192731,-0.004620582,-1.4785917,9.094621,0.13191527,-0.0046414137,-1.4790131
171,0.5378853396226415,9.443589,0.1440379,-0.0068449676,-1.4811656,9.440083,0.14400494,-0.0068403482,-1.4815925
172,0.5410308679245284,9.558665,0.13793725,-0.00013568997,-1.4975784,9.555253,0.1379123,-0.00014179945,-1.4980115
173,0.5441763962264151,9.382036,0.13430136,0.015170485,-1.5045385,9.378296,0.1342744,0.015174359,-1.504973
174,0.5473219245283019,9.482656,0.11574277,0.027245164,-1.5138383,9.479234,0.11569062,0.02723959,-1.5142795
175,0.5504674528301887,9.484064,0.10638419,0.031859398,-1.5253851,9.47969,0.10635173,0.031867355,-1.5258299
176,0.5536129811320755,10.2803955,0.08317715,0.027779311,-1.5486755,10.276844,0.083156615,0.027759254,-1.5491294
177,0.5567585094339623,10.20702,0.08622134,0.029690027,-1.5660248,10.204104,0.08619198,0.029677719,-1.5664848
178,0.5599040377358491,9.892873,0.11347413,0.023061246,-1.5634072,9.889846,0.113475114,0.023077548,-1.5638741
179,0.5630495660377359,9.950948,0.117705256,0.021484315,-1.5665631,9.948279,0.117712945,0.021523476,-1.5670267
180,0.5661950943396227,9.839214,0.13425219,0.027446687,-1.5594742,9.836624,0.1342654,0.027483195,-1.5599366
181,0.5693406226415094,9.609508,0.14207584,0.030955583,-1.5559602,9.606355,0.14209738,0.030985236,-1.5564357
182,0.5724861509433963,9.6166315,0.14883283,0.036698163,-1.5594487,9.6143465,0.14886323,0.036704093,-1.5599262
183,0.575631679245283,9.84656,0.11477581,0.041293055,-1.5558417,9.84434,0.1147643,0.04131207,-1.5563332
184,0.5787772075471699,9.991376,0.10599795,0.041487038,-1.5546384,9.989021,0.10603738,0.04149583,-1.555138
185,0.5819227358490566,9.853885,0.122498184,0.041576594,-1.5450828,9.851358,0.122561246,0.041610807,-1.5455796
186,0.5850682641509434,9.78407,0.12572181,0.041690946,-1.5271361,9.781678,0.12575048,0.04171121,-1.5276397
187,0.5882137924528302,9.669152,0.1303286,0.041028112,-1.5158746,9.667106,0.13034394,0.04104665,-1.5163888
188,0.591359320754717,9.541461,0.13547593,0.039257437,-1.5143557,9.539609,0.13548777,0.039280295,-1.5148815
189,0.5945048490566038,9.342477,0.14927858,0.03802207,-1.5082462,9.342943,0.1492522,0.038015038,-1.5087634
190,0.5976503773584906,9.166708,0.17051679,0.04303056,-1.5108168,9.166109,0.17051843,0.043016374,-1.5113336
191,0.6007959056603774,8.6116495,0.18925726,0.046269596,-1.5014198,8.611413,0.18925169,0.046279967,-1.5019416
192,0.6039414339622642,7.907772,0.21610785,0.051419318,-1.4890943,7.9100337,0.215987,0.051431626,-1.4895691
193,0.6070869622641509,7.8189793,0.24672908,0.05794087,-1.4699962,7.8212547,0.2466099,0.05793029,-1.4704696
194,0.6102324905660378,7.6774206,0.26936805,0.054674238,-1.4380381,7.678577,0.26928583,0.054675937,-1.4384707
195,0.6133780188679245,8.10132,0.28493047,0.027893513,-1.4231491,8.10116,0.28488985,0.027887136,-1.4235722
196,0.6165235471698114,8.145716,0.28308058,0.027751952,-1.4151771,8.145105,0.28297833,0.02777633,-1.4156343
197,0.6196690754716981,8.2679825,0.26707137,0.035429448,-1.4119468,8.2672825,0.26698962,0.03546393,-1.4124395
198,0.6228146037735849,8.286995,0.2656467,0.033925742,-1.4110377,8.286806,0.2654964,0.03396249,-1.4115273
199,0.6259601320754717,8.177199,0.266693,0.038903385,-1.4093082,8.178667,0.26658997,0.038910747,-1.4098011
200,0.6291056603773585,8.353563,0.25432515,0.038921177,-1.4179363,8.352745,0.25426903,0.0389297,-1.4184171
201,0.6322511886792453,8.434684,0.25344813,0.043077976,-1.4252515,8.433645,0.2534136,0.04308921,-1.4257478
202,0.6353967169811321,8.582401,0.2491495,0.045174956,-1.4280369,8.581667,0.2490423,0.045206994,-1.4285532
203,0.638542245283019,8.743782,0.24689913,0.04115191,-1.4311209,8.743805,0.24674907,0.041217357,-1.431656
204,0.6416877735849057,8.731285,0.24312252,0.042324185,-1.4329667,8.731541,0.24299076,0.042372286,-1.4335178
205,0.6448333018867924,8.702439,0.24299884,0.046126187,-1.4346921,8.702513,0.24289301,0.046174496,-1.4352449
206,0.6479788301886793,8.626119,0.24602365,0.04794702,-1.4329572,8.626814,0.24589732,0.047996968,-1.4335185
207,0.651124358490566,8.614246,0.24695665,0.044940233,-1.4226205,8.615486,0.24680093,0.044969767,-1.4231759
208,0.6542698867924529,8.604271,0.2469405,0.0410482,-1.4172289,8.605234,0.24679723,0.041063428,-1.4177684
209,0.6574154150943397,8.644689,0.24575281,0.041312665,-1.4188101,8.645569,0.24561039,0.04132709,-1.4193422
210,0.6605609433962264,8.643545,0.2585559,0.037992686,-1.4158154,8.643574,0.2584224,0.038012743,-1.4163178
211,0.6637064716981133,8.647021,0.26506793,0.030652821,-1.4104159,8.647389,0.2649534,0.030667394,-1.4109343
212,0.666852,8.685079,0.26907635,0.026815116,-1.4121428,8.685165,0.2689369,0.026848704,-1.4126569
213,0.6699975283018869,8.759037,0.2600547,0.02770722,-1.4157591,8.759377,0.2599524,0.027724475,-1.4162914
214,0.6731430566037736,8.724976,0.24940807,0.03889969,-1.4200039,8.724664,0.24931446,0.038922936,-1.4205092
215,0.6762885849056605,8.225424,0.25106132,0.047519714,-1.4150169,8.227502,0.25097325,0.047523797,-1.415527
216,0.6794341132075472,8.383891,0.2508502,0.045964092,-1.4212656,8.386567,0.25075892,0.04594344,-1.4217771
217,0.682579641509434,8.488019,0.24898845,0.041196495,-1.4228485,8.489542,0.24888077,0.041189343,-1.4233679
218,0.6857251698113208,8.394451,0.2507702,0.03783074,-1.4167352,8.394676,0.25072232,0.03782457,-1.4172529
219,0.6888706981132076,8.592974,0.25633216,0.039658725,-1.4204812,8.592894,0.25626197,0.039664894,-1.4209944
220,0.6920162264150944,8.814581,0.25410855,0.03776604,-1.4197986,8.814808,0.25394836,0.037797898,-1.4203204
221,0.6951617547169812,8.861241,0.24348235,0.03974378,-1.4291291,8.86156,0.24332795,0.03980553,-1.4296631
222,0.6983072830188679,8.6542225,0.24238098,0.041616082,-1.4216251,8.653678,0.2422624,0.041688293,-1.4221319
223,0.7014528113207548,8.840304,0.23991805,0.033202082,-1.4326267,8.841363,0.2398031,0.03327471,-1.43316
224,0.7045983396226415,8.88888,0.2318241,0.037833363,-1.4424613,8.89235,0.2316756,0.03782764,-1.4430066
225,0.7077438679245284,8.647826,0.23137426,0.046360195,-1.4500744,8.652598,0.23128882,0.046304256,-1.4505852
226,0.7108893962264151,8.579132,0.21562517,0.046667457,-1.4606714,8.583098,0.21549496,0.046645254,-1.4611992
227,0.714034924528302,8.571459,0.21851051,0.04643151,-1.4651713,8.574762,0.21841708,0.046402633,-1.4657058
